name,sec/op
SequentialSP/V=3-12,6.375e-07
SequentialSP/V=5-12,8.960000000000001e-07
SequentialSP/V=7-12,1.751e-06
SequentialSP/V=10-12,4.65e-06
SequentialSP/V=20-12,2.6783e-05
SequentialSP/V=50-12,0.00036305200000000005
SequentialSP/V=100-12,0.002071641
SequentialSP/V=500-12,0.190817483
SequentialSP/V=1000-12,1.491696198
SequentialSP/V=2000-12,12.100814562
SequentialSP/V=5000-12,183.509026698
SequentialSP/V=7500-12,610.149246413
